config,dataset,year,n,win_pct,tsloss_pct,meanP_pct,pnl_usd,ret_pct,maxDD_pct,uw_days,equity_end,note
REGIME,wfo_ds_x1_2021(2021-07..2025-12),TOTAL,1810,85.41,13.7,4.129,81833.0,233.81,-9.74,189,116832.0,gate regime-adaptive BTC30d UP1.00/NOTUP1.70
GD92,wfo_ds_x1(2022-01..2025-12),2022,416,79.57,19.71,1.276,2536.0,7.24,-13.21,69,37535.0,DATASET KHAC - gate p15 rolling (audit: NULL/nhieu)
GD92,wfo_ds_x1(2022-01..2025-12),2023,503,86.88,15.71,4.784,28940.0,74.12,-5.24,63,65356.0,DATASET KHAC - gate p15 rolling (audit: NULL/nhieu)
GD92,wfo_ds_x1(2022-01..2025-12),2024,798,83.96,16.79,3.501,27833.0,43.91,-11.36,114,94308.0,DATASET KHAC - gate p15 rolling (audit: NULL/nhieu)
GD92,wfo_ds_x1(2022-01..2025-12),2025,638,85.11,11.6,3.967,34670.0,36.76,-6.11,116,128979.0,DATASET KHAC - gate p15 rolling (audit: NULL/nhieu)
GD92,wfo_ds_x1(2022-01..2025-12),TOTAL,2355,84.12,15.67,3.509,93979.0,268.51,-13.21,116,128979.0,DATASET KHAC - gate p15 rolling (audit: NULL/nhieu)
PARITY_R,wfo_ds_x1(2022-01..2025-12),2022,406,82.27,17.0,2.2,6056.0,17.3,-12.46,64,41056.0,DATASET KHAC - baseline doi chieu cua GD92
PARITY_R,wfo_ds_x1(2022-01..2025-12),2023,307,88.93,13.36,5.814,25035.0,60.43,-2.51,45,65866.0,DATASET KHAC - baseline doi chieu cua GD92
PARITY_R,wfo_ds_x1(2022-01..2025-12),2024,669,86.1,14.65,3.883,29596.0,45.36,-11.36,121,95687.0,DATASET KHAC - baseline doi chieu cua GD92
PARITY_R,wfo_ds_x1(2022-01..2025-12),2025,884,83.26,14.82,2.513,15741.0,16.45,-10.6,227,111428.0,DATASET KHAC - baseline doi chieu cua GD92
PARITY_R,wfo_ds_x1(2022-01..2025-12),TOTAL,2266,84.69,14.96,3.308,76428.0,218.37,-12.46,227,111428.0,DATASET KHAC - baseline doi chieu cua GD92
